,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
111,while.body,anagram,560.0,FindAnagram,4241000.0,3238250.0,4181000.0,37000.0,1,1,1057900.0
112,while.body,anagram,560.0,FindAnagram,4059000.0,3098740.0,3989000.0,36000.0,1,2,1000580.0
113,while.body,anagram,560.0,FindAnagram,4175000.0,3191860.0,4116000.0,36000.0,1,3,1036910.0
114,while.body,anagram,560.0,FindAnagram,4095000.0,3126500.0,4025000.0,36000.0,1,4,1011260.0
115,while.body,anagram,560.0,FindAnagram,4032000.0,3082750.0,3963000.0,36000.0,1,5,990441.0
116,while.body,anagram,560.0,FindAnagram,4033000.0,3086910.0,3969000.0,36000.0,1,7,993805.0
117,while.body,anagram,560.0,FindAnagram,4051000.0,3100560.0,3990000.0,36000.0,1,8,999561.0
118,while.body,anagram,560.0,FindAnagram,4040000.0,3084720.0,3965000.0,36000.0,1,6,990934.0
119,while.body,anagram,560.0,FindAnagram,4035000.0,3086940.0,3969000.0,36000.0,1,9,993762.0
120,while.body,anagram,560.0,FindAnagram,4034000.0,3083170.0,3963000.0,35000.0,1,10,990618.0
121,while.body,anagram,560.0,FindAnagram,4038000.0,3090820.0,3970000.0,36000.0,2,0,990122.0
122,while.body,anagram,560.0,FindAnagram,4241000.0,3238260.0,4181000.0,37000.0,2,1,1057820.0
123,while.body,anagram,560.0,FindAnagram,4057000.0,3098690.0,3990000.0,36000.0,2,2,1000680.0
124,while.body,anagram,560.0,FindAnagram,4175000.0,3191810.0,4115000.0,36000.0,2,3,1036950.0
125,while.body,anagram,560.0,FindAnagram,4096000.0,3126620.0,4026000.0,36000.0,2,4,1011230.0
126,while.body,anagram,560.0,FindAnagram,4031000.0,3082790.0,3962000.0,36000.0,2,5,990438.0
127,while.body,anagram,560.0,FindAnagram,4034000.0,3086790.0,3970000.0,35000.0,2,7,993667.0
128,while.body,anagram,560.0,FindAnagram,4052000.0,3100560.0,3991000.0,36000.0,2,8,999554.0
129,while.body,anagram,560.0,FindAnagram,4040000.0,3084690.0,3964000.0,36000.0,2,6,990908.0
130,while.body,anagram,560.0,FindAnagram,4032000.0,3086820.0,3969000.0,36000.0,2,9,993779.0
131,while.body,anagram,560.0,FindAnagram,4033000.0,3083250.0,3963000.0,35000.0,2,10,990644.0
132,while.body243,analyzer,1.0,main,228013000.0,114006000.0,8000017.0,228013000.0,1,0,114006000.0
133,while.body243,analyzer,1.0,main,230066000.0,115033000.0,8000017.0,230066000.0,1,1,115033000.0
134,while.body243,analyzer,1.0,main,224080000.0,112040000.0,8000017.0,224080000.0,1,2,112040000.0
135,while.body243,analyzer,1.0,main,223102000.0,111551000.0,8000017.0,223102000.0,1,3,111551000.0
136,while.body243,analyzer,1.0,main,219492000.0,109746000.0,8000017.0,219492000.0,1,4,109746000.0
137,while.body243,analyzer,1.0,main,221414000.0,110707000.0,8000017.0,221414000.0,1,5,110707000.0
138,while.body243,analyzer,1.0,main,221286000.0,110643000.0,8000017.0,221286000.0,1,6,110643000.0
139,while.body243,analyzer,1.0,main,221979000.0,110990000.0,8000017.0,221979000.0,1,7,110990000.0
140,while.body243,analyzer,1.0,main,221775000.0,110888000.0,8000017.0,221775000.0,1,8,110888000.0
141,while.body243,analyzer,1.0,main,226888000.0,113444000.0,8000017.0,226888000.0,1,9,113444000.0
142,while.body243,analyzer,1.0,main,220477000.0,110238000.0,8000017.0,220477000.0,1,10,110238000.0
143,while.body243,analyzer,1.0,main,220585000.0,110292000.0,8000017.0,220585000.0,2,0,110292000.0
144,while.body243,analyzer,1.0,main,220672000.0,110336000.0,8000017.0,220672000.0,2,1,110336000.0
145,while.body243,analyzer,1.0,main,218725000.0,109362000.0,8000017.0,218725000.0,2,2,109362000.0
146,while.body243,analyzer,1.0,main,227636000.0,113818000.0,8000017.0,227636000.0,2,3,113818000.0
147,while.body243,analyzer,1.0,main,215703000.0,107852000.0,8000017.0,215703000.0,2,4,107852000.0
148,while.body243,analyzer,1.0,main,221848000.0,110924000.0,8000017.0,221848000.0,2,5,110924000.0
149,while.body243,analyzer,1.0,main,216894000.0,108447000.0,8000017.0,216894000.0,2,6,108447000.0
150,while.body243,analyzer,1.0,main,221552000.0,110776000.0,8000017.0,221552000.0,2,7,110776000.0
151,while.body243,analyzer,1.0,main,220788000.0,110394000.0,8000017.0,220788000.0,2,8,110394000.0
152,while.body243,analyzer,1.0,main,220629000.0,110314000.0,8000017.0,220629000.0,2,9,110314000.0
153,while.body243,analyzer,1.0,main,220399000.0,110200000.0,8000017.0,220399000.0,2,10,110200000.0
154,for.body8,atax,1.0,kernel_atax_StrictFP,91316000.0,45658000.0,8000017.0,91316000.0,1,0,45658000.0
155,for.body8,atax,1.0,kernel_atax_StrictFP,91316000.0,45658000.0,8000017.0,91316000.0,1,1,45658000.0
156,for.body8,atax,1.0,kernel_atax_StrictFP,91316000.0,45658000.0,8000017.0,91316000.0,1,3,45658000.0
157,for.body8,atax,1.0,kernel_atax_StrictFP,91058000.0,45529000.0,8000017.0,91058000.0,1,2,45529000.0
158,for.body8,atax,1.0,kernel_atax_StrictFP,89028000.0,44514000.0,8000017.0,89028000.0,1,4,44514000.0
159,for.body8,atax,1.0,kernel_atax_StrictFP,91329000.0,45664500.0,8000017.0,91329000.0,1,5,45664500.0
160,for.body8,atax,1.0,kernel_atax_StrictFP,91072000.0,45536000.0,8000017.0,91072000.0,1,6,45536000.0
161,for.body8,atax,1.0,kernel_atax_StrictFP,91031000.0,45515500.0,8000017.0,91031000.0,1,7,45515500.0
162,for.body8,atax,1.0,kernel_atax_StrictFP,91003000.0,45501500.0,8000017.0,91003000.0,1,9,45501500.0
163,for.body8,atax,1.0,kernel_atax_StrictFP,88508000.0,44254000.0,8000017.0,88508000.0,1,8,44254000.0
164,for.body8,atax,1.0,kernel_atax_StrictFP,91028000.0,45514000.0,8000017.0,91028000.0,1,10,45514000.0
165,for.body8,atax,1.0,kernel_atax_StrictFP,91290000.0,45645000.0,8000017.0,91290000.0,2,0,45645000.0
166,for.body8,atax,1.0,kernel_atax_StrictFP,91318000.0,45659000.0,8000017.0,91318000.0,2,1,45659000.0
167,for.body8,atax,1.0,kernel_atax_StrictFP,91395000.0,45697500.0,8000017.0,91395000.0,2,3,45697500.0
168,for.body8,atax,1.0,kernel_atax_StrictFP,91018000.0,45509000.0,8000017.0,91018000.0,2,2,45509000.0
169,for.body8,atax,1.0,kernel_atax_StrictFP,89038000.0,44519000.0,8000017.0,89038000.0,2,4,44519000.0
170,for.body8,atax,1.0,kernel_atax_StrictFP,91379000.0,45689500.0,8000017.0,91379000.0,2,5,45689500.0
171,for.body8,atax,1.0,kernel_atax_StrictFP,91028000.0,45514000.0,8000017.0,91028000.0,2,6,45514000.0
172,for.body8,atax,1.0,kernel_atax_StrictFP,90978000.0,45489000.0,8000017.0,90978000.0,2,7,45489000.0
173,for.body8,atax,1.0,kernel_atax_StrictFP,91012000.0,45506000.0,8000017.0,91012000.0,2,9,45506000.0
